n_convs,kernel_size,stride,padding,n_channels,train_loss,train_acc,val_acc,overfit
1,1,1,1,16,"[3.7684991359710693, 3.1316280364990234, 3.4719512462615967, 3.353814125061035, 3.6090381145477295, 2.7999112606048584, 3.1405327320098877, 3.1514153480529785, 2.6041154861450195, 2.791512966156006, 3.5039350986480713, 3.3257505893707275, 3.1684341430664062, 3.395443916320801, 2.4255073070526123, 2.95512056350708, 3.6307835578918457, 2.8136003017425537, 3.3651070594787598, 3.2479100227355957, 2.62937068939209, 3.8310954570770264, 2.9885306358337402, 3.625169038772583, 3.023677349090576, 3.3877475261688232, 2.738636016845703, 3.436558723449707, 3.059079170227051, 3.430950880050659, 3.5765931606292725, 3.0669476985931396, 3.556540012359619, 3.433431625366211, 2.6425726413726807, 2.937513589859009, 3.1457583904266357, 3.340362310409546, 3.445552349090576, 2.914013624191284, 3.3955018520355225, 3.56885027885437, 4.064141273498535, 3.175722599029541, 2.3370022773742676, 3.9440908432006836, 2.7344183921813965, 3.341506004333496, 2.8551745414733887, 3.357417583465576]","[0.11569707987728667, 0.1324991478241109, 0.13803829110328372, 0.14820759004658562, 0.1491023747301443, 0.1557493466651517, 0.15611862288376321, 0.17171344165435745, 0.16760879445517554, 0.174269969321668, 0.17236677650267015, 0.19048971707760481, 0.18872855357345755, 0.19377059425065332, 0.19982104306328827, 0.202675832291785, 0.21334223383706397, 0.21811441881604363, 0.21828485399386433, 0.21704919895466424, 0.22328428587660493, 0.22177877513918873, 0.23835359618225202, 0.2455828883081468, 0.25217304851721395, 0.24937507101465742, 0.2566043631405522, 0.26028292239518236, 0.2655664129076241, 0.272568458129758, 0.2721281672537212, 0.2806073173503011, 0.27565049426201566, 0.28243949551187364, 0.2857771844108624, 0.28093398477445747, 0.29195545960686287, 0.2999233041699807, 0.28607544597204865, 0.29309169412566755, 0.3005056243608681, 0.3130610157936598, 0.3063572321327122, 0.31982161118054764, 0.3265538007044654, 0.3318941029428474, 0.32891148733098513, 0.34003238268378594, 0.34435007385524374, 0.26120611294171114]","[0.11259444412884168, 0.12725103675509855, 0.13230699312617167, 0.13963528943930012, 0.14128273589729023, 0.1407146509117764, 0.13929443844799183, 0.15355337158438903, 0.14866784070897007, 0.1557120945293416, 0.15548486053513605, 0.16542634778162812, 0.1628131568482645, 0.16411975231494633, 0.16400613531784355, 0.1655399647787309, 0.1669033687439641, 0.17042549565414986, 0.16707379423961824, 0.1665625177526558, 0.16934613418167357, 0.16150656138158268, 0.16855081520195422, 0.16775549622223485, 0.167187411236721, 0.1696869851729819, 0.16673294324830995, 0.16304039084247005, 0.16394932681929217, 0.16883485769471113, 0.16582400727148783, 0.1654831562801795, 0.1607680509004147, 0.1628131568482645, 0.1648014542975629, 0.1638357098221894, 0.16434698630915184, 0.16196102936999376, 0.16400613531784355, 0.16235868885985344, 0.16139294438447993, 0.16696017724251547, 0.1634948588308811, 0.16338124183377833, 0.16235868885985344, 0.1607680509004147, 0.1594046469351815, 0.15752996648298587, 0.15576890302789298, 0.13537465204794638]",0.12583146089376476
2,5,1,1,16,"[3.553251028060913, 3.461759567260742, 3.4471070766448975, 3.1695876121520996, 3.7631874084472656, 3.9329679012298584, 2.8646161556243896, 2.8167777061462402, 3.30349063873291, 2.7265894412994385, 2.6880643367767334, 3.252964496612549, 3.336620330810547, 2.912376880645752, 2.604368209838867, 2.8831076622009277, 2.80104660987854, 1.9999421834945679, 2.5600569248199463, 3.0057637691497803, 2.301234722137451, 2.697183609008789, 3.0509002208709717, 2.810986042022705, 2.9342195987701416, 1.945501446723938, 2.1532516479492188, 3.033083915710449, 2.0002968311309814, 3.0011825561523438, 2.8720579147338867, 2.004600763320923, 3.1904189586639404, 2.2913389205932617, 2.012913227081299, 2.2430200576782227, 3.76369309425354, 1.4358316659927368, 2.331918716430664, 2.3358166217803955, 2.0298221111297607, 2.5501976013183594, 2.7553563117980957, 1.3343877792358398, 1.494925856590271, 2.264291524887085, 2.250704288482666, 2.6143429279327393, 3.236320972442627, 3.258467435836792]","[0.10220429496648108, 0.1257527553687081, 0.14549483013293943, 0.1697108283149642, 0.18671173730257926, 0.19592943983638222, 0.21560049994318828, 0.22745994773321213, 0.24411998636518578, 0.25882002045222136, 0.26498409271673673, 0.29435575502783773, 0.29846040222701964, 0.3244943756391319, 0.3417651403249631, 0.3593909782979207, 0.3617912737188956, 0.3882087262811044, 0.40599079650039765, 0.4143705260765822, 0.4416117486649244, 0.43557550278377455, 0.4501761163504147, 0.47433530280649927, 0.493679695489149, 0.5106521986137939, 0.5253238268378594, 0.528633109873878, 0.5519969321667992, 0.5413589364844904, 0.5270281786160663, 0.5822491762299739, 0.5960544256334508, 0.5978013862061129, 0.619901147596864, 0.622074196114078, 0.6254260879445518, 0.641276559481877, 0.6425264174525622, 0.6555789114873309, 0.6605357345756164, 0.6555220997613908, 0.6913845017611635, 0.6987132144074537, 0.7001903192818998, 0.707036132257698, 0.6680632882626975, 0.7245341438472901, 0.7295619815930008, 0.7347460515850471]","[0.10180082940407885, 0.12480827131738909, 0.1370220985059365, 0.16241549735840483, 0.1736067715730273, 0.17224336760779413, 0.18655910924274272, 0.1927512355848435, 0.19320570357325456, 0.2001931488950747, 0.20485144577628814, 0.20649889223427825, 0.20513548826904504, 0.20581719025166165, 0.20649889223427825, 0.20888484917343636, 0.20229506334147587, 0.20280633982843835, 0.1999091064023178, 0.20007953189797192, 0.19439868204283361, 0.19314889507470318, 0.18991081065727433, 0.1873544282224621, 0.19081974663409645, 0.18888825768334944, 0.19155825711526445, 0.1795148554223712, 0.18485485428620121, 0.1825257058455945, 0.1845708117934443, 0.1767880474919048, 0.17894677043685736, 0.17866272794410043, 0.17326592058171902, 0.17275464409475658, 0.1733227290802704, 0.17593592001363403, 0.1723569846048969, 0.16917570868601942, 0.17417485655854115, 0.16815315571209452, 0.16730102823382378, 0.1675850707265807, 0.16849400670340284, 0.16678975174686134, 0.17178889961938307, 0.16394932681929217, 0.16565358177583367, 0.16514230528887122]",0.5696037462961759
5,5,2,2,32,"[3.73432993888855, 4.259080410003662, 2.923177719116211, 3.1552011966705322, 3.9523165225982666, 3.378096342086792, 3.8770246505737305, 3.193262815475464, 3.5465526580810547, 3.6385974884033203, 3.547247886657715, 3.289213180541992, 3.7706356048583984, 3.1420164108276367, 3.1846425533294678, 3.2284631729125977, 3.424649953842163, 2.241220712661743, 3.6862735748291016, 2.9841904640197754, 2.18707275390625, 3.981187105178833, 3.1671628952026367, 4.316244602203369, 2.5556578636169434, 3.091826915740967, 3.1310598850250244, 3.455350875854492, 3.1520543098449707, 3.610013008117676, 3.110306978225708, 3.094608783721924, 2.6905016899108887, 3.3906772136688232, 3.3612513542175293, 2.7642593383789062, 2.3121302127838135, 2.679515838623047, 3.152445077896118, 2.5198237895965576, 3.12607479095459, 3.807526111602783, 2.4642908573150635, 2.635125160217285, 2.3130407333374023, 1.9890973567962646, 2.9212241172790527, 3.4411003589630127, 3.241253137588501, 2.4434711933135986]","[0.07848539938643335, 0.09375355073287127, 0.1099022838313828, 0.1256107260538575, 0.1345585728894444, 0.1379104647199182, 0.13952959890921487, 0.15493977957050334, 0.1627655948187706, 0.16746676514032496, 0.17705374389273945, 0.18040563572321328, 0.19007783206453813, 0.1930604476764004, 0.1986848085444836, 0.20091466878763778, 0.21293034882399728, 0.20993353028064993, 0.2209692080445404, 0.22552834905124416, 0.22555675491421429, 0.23277184410862403, 0.23895011930462448, 0.24461708896716283, 0.23804113168958074, 0.24821043063288262, 0.2455544824451767, 0.24823883649585274, 0.24957391205544824, 0.2610072719009203, 0.2617742302011135, 0.2541756618566072, 0.269912509942052, 0.2682223610953301, 0.27272469037609365, 0.27110555618679694, 0.27151744119986365, 0.27174468810362457, 0.2795705033518918, 0.28465515282354276, 0.2735910691966822, 0.2826809453471196, 0.28863197363935916, 0.291500965799341, 0.2923531416884445, 0.28918588796727646, 0.2912453130326099, 0.2995966367458243, 0.296599818202477, 0.29976707192364505]","[0.07708913253422713, 0.09077998068511049, 0.10736806226211441, 0.12435380332897801, 0.1301482701812191, 0.13242061012327444, 0.13611316252911435, 0.14821337272055898, 0.154291882065557, 0.15582571152644437, 0.16235868885985344, 0.16360847582798388, 0.171334431630972, 0.17252741010055103, 0.1753678350281202, 0.17303868658751348, 0.18031017440209055, 0.1744020905527467, 0.1812191103789127, 0.18263932284269727, 0.18536613077316366, 0.1804805998977447, 0.18542293927171505, 0.18434357779923877, 0.1804805998977447, 0.18371868431517355, 0.18371868431517355, 0.1811623018803613, 0.17866272794410043, 0.18536613077316366, 0.18604783275578027, 0.1794580469238198, 0.1841731523035846, 0.18087825938760438, 0.18241208884849172, 0.17900357893540875, 0.17894677043685736, 0.1788331534397546, 0.17871953644265182, 0.17701528148611032, 0.17110719763676646, 0.17320911208316764, 0.1780378344600352, 0.17514060103391468, 0.1784354939498949, 0.17514060103391468, 0.17627677100494235, 0.1805374083962961, 0.17548145202522297, 0.17491336703970914]",0.1248537048839359
2,3,2,2,32,"[3.5112390518188477, 3.016528606414795, 3.252293586730957, 3.2224597930908203, 4.002249240875244, 2.875948667526245, 2.805042266845703, 3.1568310260772705, 2.95694899559021, 2.902235984802246, 3.3353896141052246, 3.024766683578491, 3.9877758026123047, 3.674351692199707, 3.6816728115081787, 2.809751033782959, 4.041924476623535, 3.224428176879883, 2.807692766189575, 3.7015295028686523, 3.0230278968811035, 3.2950963973999023, 3.5601534843444824, 3.8911054134368896, 3.4021878242492676, 2.8733737468719482, 3.625169515609741, 3.3674473762512207, 3.422433853149414, 2.851195812225342, 3.147860288619995, 2.522202730178833, 2.6825473308563232, 2.9253029823303223, 2.509751558303833, 2.8522350788116455, 2.822141647338867, 2.933879852294922, 3.311508893966675, 3.560029983520508, 2.4666616916656494, 3.407458782196045, 2.5331974029541016, 3.3423190116882324, 2.801666736602783, 2.318362236022949, 3.173266649246216, 3.357809543609619, 3.1273279190063477, 2.3797607421875]","[0.10091182820134076, 0.13212987160549938, 0.14641802067946824, 0.16172878082036132, 0.1800505624360868, 0.18425463015566412, 0.19800306783320076, 0.20926599250085218, 0.217475286899216, 0.22122486081127143, 0.22751675945915237, 0.2365782297466197, 0.2408249062606522, 0.24765651630496535, 0.24977275309623906, 0.2515623224633564, 0.2558800136348142, 0.25995625497102604, 0.25494262015680036, 0.26425974321099877, 0.272568458129758, 0.2712191796386774, 0.2772412225883422, 0.27218497897966143, 0.28052209976139075, 0.2828371775934553, 0.28493921145324397, 0.28295080104533576, 0.2900238609248949, 0.29000965799340983, 0.2893847290080673, 0.28634530167026473, 0.2933899556868538, 0.2957334393818884, 0.3019685263038291, 0.30009373934780137, 0.297579820474946, 0.30418418361549826, 0.30942506533348485, 0.30532041813430294, 0.31154130212475856, 0.30513578002499714, 0.31389898875127825, 0.3196227701397569, 0.3172650835132371, 0.3188132030451085, 0.3234717645722077, 0.3196369730712419, 0.3225201681627088, 0.32234973298488806]","[0.0999261489518832, 0.12935295120149976, 0.1451457137987843, 0.15423507356700564, 0.1699142191671874, 0.16803953871499178, 0.1855933647673692, 0.19394421405442255, 0.20081804237913992, 0.2018405953530648, 0.20661250923138103, 0.21325910356189287, 0.216099528489462, 0.21394080554450945, 0.21530420950974266, 0.21893995341703118, 0.22285973981707663, 0.22462080327216952, 0.21791740044310628, 0.2222348463330114, 0.22990399363744815, 0.22234846333011418, 0.22848378117366358, 0.2253593137533375, 0.22899505766062603, 0.23069931261716753, 0.2310969721070272, 0.22723399420553314, 0.22905186615917741, 0.22797250468670113, 0.22996080213599954, 0.2233142078054877, 0.22967675964324263, 0.23155144009543827, 0.23439186502300743, 0.23234675907515764, 0.23302846105777425, 0.2348463330114185, 0.23615292847810032, 0.22831335567800942, 0.23121058910412998, 0.22763165369539284, 0.23586888598534342, 0.23439186502300743, 0.23473271601431575, 0.23376697153894221, 0.23643697097085725, 0.23069931261716753, 0.22791569618814975, 0.23194909958529797]",0.09040063339959009
2,5,1,1,16,"[3.6272263526916504, 3.741494655609131, 3.3298213481903076, 3.3512020111083984, 2.9667201042175293, 2.817345380783081, 2.5811567306518555, 4.2221269607543945, 3.2276933193206787, 3.741730213165283, 2.5782477855682373, 3.4453999996185303, 2.805664539337158, 3.2140450477600098, 2.7600293159484863, 1.9615180492401123, 3.0692148208618164, 3.527308940887451, 3.3716087341308594, 3.441290855407715, 2.4737296104431152, 3.4003982543945312, 2.5746116638183594, 2.078861951828003, 2.2175631523132324, 2.3356642723083496, 2.2255959510803223, 3.3675875663757324, 2.0091097354888916, 2.178565502166748, 3.219480514526367, 3.2281739711761475, 1.621889352798462, 3.1074953079223633, 3.420039415359497, 2.4796946048736572, 3.782468318939209, 3.1672115325927734, 3.9283549785614014, 3.3304409980773926, 3.5463829040527344, 2.5326173305511475, 3.1500778198242188, 1.9047995805740356, 1.9818867444992065, 1.5686074495315552, 2.3364572525024414, 2.7325220108032227, 2.5934205055236816, 2.459325075149536]","[0.10199125099420521, 0.12840870355641404, 0.14931541870242018, 0.16990966935575502, 0.18243665492557665, 0.2058998977388933, 0.22295761845244857, 0.22618168389955687, 0.2474292694012044, 0.27418759231905465, 0.28455573230314735, 0.2934751732757641, 0.30794796045903877, 0.32466481081695264, 0.33653846153846156, 0.3514373366662879, 0.3728979661402113, 0.3845727758209294, 0.4049113737075332, 0.4287154868764913, 0.43009317123054197, 0.2610924894898307, 0.46525962958754685, 0.4765083513237132, 0.4821611180547665, 0.5037495739120554, 0.5214322236109533, 0.5078116123167822, 0.5516844676741279, 0.5535592546301557, 0.5630468128621747, 0.564055220997614, 0.5860839677309396, 0.603652993977957, 0.608268946710601, 0.6227701397568458, 0.31798943301897514, 0.638109305760709, 0.6460629473923418, 0.6589023974548347, 0.6659328485399386, 0.6694977843426884, 0.6820957845699352, 0.6821667992273606, 0.7028178616066356, 0.7109703442790593, 0.7034427905919782, 0.7178445631178275, 0.7255141461197592, 0.737146347006022]","[0.09833551099244447, 0.12316082485939897, 0.1420780548770096, 0.16059762540476055, 0.16843719820485145, 0.18019655740498777, 0.18905868317900357, 0.18672953473839687, 0.1965005964892348, 0.20235187184002726, 0.20024995739362608, 0.19530761801965574, 0.19439868204283361, 0.19383059705731978, 0.1886042151905925, 0.18797932170652729, 0.19161506561381583, 0.1900812361529285, 0.18059421689484748, 0.1890018746804522, 0.18462762029199567, 0.14565699028574675, 0.1855933647673692, 0.18275293983980004, 0.1811623018803613, 0.17769698346872692, 0.17599272851218542, 0.17411804805998976, 0.17372038857013009, 0.17218655910924274, 0.16713060273816963, 0.1726978355962052, 0.1672442197352724, 0.16775549622223485, 0.16974379367153325, 0.1669033687439641, 0.10452763733454525, 0.16661932625120718, 0.16167698687723683, 0.16196102936999376, 0.1591206044424246, 0.16360847582798388, 0.15775720047719138, 0.15980230642504117, 0.1573595409873317, 0.15707549849457478, 0.16230188036130205, 0.1549735840481736, 0.15508720104527637, 0.14946315968868942]",0.5876831873173326
